what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1367978986152
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979115668
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979115776
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1367979115810
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1367979261522
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367979269558
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1367979293306
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979305112
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979305641
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1367979347814
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367979354453
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1367979499400
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1367979507388
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979509528
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979540538
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979542595
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979580620
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979584532
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979585629
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979639021
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979648969
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1367979666703
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367979670828
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367979671116
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1367979707498
