what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367979991815
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980017698
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980049205
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1367980066823
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980067963
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980069452
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980101593
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980108983
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980112327
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980136177
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980161111
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980161464
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1367980169803
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980193139
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980208952
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1367980219306
started,bundle,org.eclipse.mylyn.java.tasks,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.tasks",1367980225281
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1367980226908
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1367980227237
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367980254028
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1367980254029
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1367980259717
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1367980266448
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980274043
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980319394
