what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367979708346
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367979708783
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979760776
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979779014
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1367979783469
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1367979823960
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1367979824580
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979825879
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979826190
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1367979835881
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979837580
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979838160
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1367979848072
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979850461
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979850926
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1367979872802
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367979874289
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367979874980
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1367979875487
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367979878427
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367979896431
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1367979898291
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1367979902886
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979921399
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367979989563
